transaction_id,customer_id,product_id,campaign_id,transaction_date,quantity,price,total_amount
1,11153,5,2,2025-04-04,4,346.11,1384.44
2,5618,190,9,2024-07-03,2,308.36,616.72
3,1196,165,5,2024-09-11,2,230.35,460.7
4,6230,145,3,2024-12-18,1,218.09,218.09
5,5306,22,6,2025-02-17,2,359.0,718.0
6,8078,78,9,2024-09-28,1,180.04,180.04
7,15881,160,9,2024-09-16,1,80.35,80.35
8,9346,14,9,2025-03-16,3,270.29,810.8700000000001
9,17227,148,10,2025-04-23,2,246.65,493.3
10,5201,150,4,2024-12-10,1,424.1,424.1
11,9875,30,5,2024-05-20,2,90.47,180.94
12,295,182,1,2025-02-05,4,299.42,1197.68
13,6098,161,10,2024-08-25,2,333.9,667.8
14,6413,5,6,2025-03-13,3,346.11,1038.33
15,8837,18,2,2024-11-26,1,429.49,429.49
16,11826,63,7,2025-01-09,1,133.36,133.36
17,6679,174,4,2025-01-27,4,362.41,1449.64
18,15736,135,4,2024-10-28,3,345.03,1035.09
19,5744,157,9,2025-03-10,1,499.17,499.17
20,16495,57,1,2024-12-18,4,50.78,203.12
21,8776,175,6,2025-05-17,1,324.97,324.97
22,11418,9,2,2024-11-27,1,13.97,13.97
23,9679,187,6,2024-10-10,3,44.56,133.68
24,4865,112,7,2024-09-09,4,154.73,618.92
25,13468,105,3,2024-09-11,1,246.13,246.13
26,1649,123,4,2025-02-11,2,211.34,422.68
27,15678,71,2,2025-01-20,4,445.68,1782.72
28,15919,199,7,2025-02-12,3,22.72,68.16
29,2382,113,9,2025-01-30,3,20.48,61.44
30,16490,171,5,2024-06-11,3,283.16,849.48
31,11746,59,5,2024-07-20,1,208.09,208.09
32,5819,6,9,2024-06-25,3,220.2,660.5999999999999
33,9887,110,8,2024-09-17,4,110.09,440.36
34,382,111,1,2024-07-08,1,385.69,385.69
35,4357,53,2,2024-07-28,2,432.07,864.14
36,5919,64,7,2024-12-14,3,193.68,581.04
37,1317,4,3,2024-06-08,3,55.05,165.14999999999998
38,5455,1,6,2024-09-23,3,173.58,520.74
39,13108,70,1,2024-09-19,2,35.81,71.62
40,4075,31,8,2024-11-10,1,37.43,37.43
41,14812,65,2,2024-11-12,3,401.97,1205.91
42,17291,117,1,2024-09-11,2,126.19,252.38
43,7622,197,2,2025-02-24,1,432.17,432.17
44,17047,19,8,2024-11-03,4,92.04,368.16
45,16127,197,10,2024-12-10,3,432.17,1296.51
46,8655,118,5,2024-11-05,1,125.16,125.16
47,12873,69,9,2025-05-17,3,438.17,1314.51
48,17327,177,3,2024-06-16,2,344.08,688.16
49,14952,31,8,2025-01-18,1,37.43,37.43
50,8350,188,4,2024-09-14,2,388.67,777.34
51,19694,199,7,2024-12-29,3,22.72,68.16
52,17711,79,10,2024-06-17,4,273.74,1094.96
53,10910,55,10,2024-08-21,2,148.2,296.4
54,10761,127,8,2024-08-22,1,470.22,470.22
55,11585,77,3,2025-04-07,1,59.77,59.77
56,2107,91,3,2024-10-29,3,282.5,847.5
57,13670,166,1,2025-01-25,1,310.3,310.3
58,2939,161,8,2024-11-03,3,333.9,1001.6999999999999
59,2484,6,2,2024-12-26,2,220.2,440.4
60,1376,141,7,2025-02-07,4,75.44,301.76
61,10016,20,7,2024-07-29,2,140.11,280.22
62,16629,100,7,2025-05-01,2,467.43,934.86
63,18733,165,4,2024-08-30,3,230.35,691.05
64,15061,45,7,2024-06-24,4,464.64,1858.56
65,16864,81,10,2024-11-20,2,116.06,232.12
66,10655,59,8,2024-08-29,3,208.09,624.27
67,18320,52,9,2024-06-09,2,283.56,567.12
68,14254,146,7,2024-11-17,2,18.71,37.42
69,11566,25,6,2025-01-19,1,56.28,56.28
70,88,123,5,2024-10-29,2,211.34,422.68
71,9433,129,10,2024-12-31,4,107.22,428.88
72,8765,41,10,2024-10-31,2,367.97,735.94
73,179,102,7,2024-12-08,3,273.54,820.6200000000001
74,16547,18,10,2024-05-18,1,429.49,429.49
75,2641,129,2,2024-06-17,3,107.22,321.65999999999997
76,9198,167,5,2024-06-08,4,347.26,1389.04
77,18733,159,8,2025-04-21,2,68.99,137.98
78,2422,102,6,2025-02-10,2,273.54,547.08
79,10948,71,6,2025-02-09,1,445.68,445.68
80,1218,166,1,2024-12-05,2,310.3,620.6
81,2475,8,2,2025-02-24,3,350.39,1051.17
82,930,162,3,2024-08-27,3,334.11,1002.33
83,7959,73,7,2025-01-19,1,342.48,342.48
84,1503,89,10,2024-10-22,2,184.64,369.28
85,421,27,6,2024-12-03,1,357.39,357.39
86,13581,169,5,2024-09-05,4,243.07,972.28
87,15841,7,9,2024-11-12,2,433.75,867.5
88,5831,32,10,2024-08-23,2,69.3,138.6
89,17834,73,7,2024-09-23,2,342.48,684.96
90,5812,99,9,2025-01-21,4,24.59,98.36
91,8620,112,3,2025-03-01,4,154.73,618.92
92,13528,144,8,2025-03-29,4,63.83,255.32
93,16224,130,9,2025-04-10,3,241.51,724.53
94,107,171,2,2024-12-25,1,283.16,283.16
95,4050,31,4,2024-11-03,3,37.43,112.28999999999999
96,8290,80,2,2024-07-31,4,407.53,1630.12
97,1904,175,7,2024-11-04,3,324.97,974.9100000000001
98,19955,33,4,2024-09-29,3,465.69,1397.07
99,11494,145,6,2024-06-08,1,218.09,218.09
100,5377,99,8,2025-02-11,4,24.59,98.36
101,43,54,6,2025-01-04,3,417.26,1251.78
102,1578,54,4,2024-09-09,3,417.26,1251.78
103,12383,179,6,2025-03-21,2,128.42,256.84
104,5886,180,1,2024-11-16,2,10.69,21.38
105,8577,135,6,2024-09-14,4,345.03,1380.12
106,13107,182,10,2025-05-03,3,299.42,898.26
107,11664,139,8,2024-12-08,4,445.41,1781.64
108,3578,190,4,2024-12-10,1,308.36,308.36
109,19623,30,9,2024-05-25,4,90.47,361.88
110,16143,82,6,2024-11-11,4,403.44,1613.76
111,5245,57,6,2025-05-12,3,50.78,152.34
112,2135,174,4,2025-03-05,1,362.41,362.41
113,3893,70,8,2025-02-10,4,35.81,143.24
114,4322,66,5,2024-06-19,2,418.79,837.58
115,5777,183,1,2025-05-04,1,486.3,486.3
116,10585,107,7,2024-12-11,3,339.35,1018.0500000000001
117,16120,186,8,2024-07-12,2,108.88,217.76
118,5829,10,6,2024-10-30,1,312.19,312.19
119,296,132,7,2025-02-16,3,19.03,57.09
120,414,74,7,2024-09-06,3,295.45,886.3499999999999
121,10188,73,4,2024-08-30,1,342.48,342.48
122,14317,62,4,2025-01-09,1,235.73,235.73
123,6669,109,1,2024-09-14,1,75.28,75.28
124,15345,171,2,2024-11-24,3,283.16,849.48
125,8196,42,3,2025-01-31,2,32.71,65.42
126,16562,24,5,2024-11-11,2,464.59,929.18
127,4355,5,10,2025-04-28,3,346.11,1038.33
128,5483,99,9,2025-01-28,1,24.59,24.59
129,16077,196,5,2024-12-21,3,449.05,1347.15
130,15377,99,6,2024-06-29,3,24.59,73.77
131,3272,120,7,2024-06-27,3,460.99,1382.97
132,10675,77,4,2024-10-20,3,59.77,179.31
133,5393,101,8,2025-02-26,2,268.11,536.22
134,16674,96,6,2024-12-29,1,477.09,477.09
135,14310,173,1,2025-02-22,3,310.3,930.9000000000001
136,16792,187,6,2024-08-21,3,44.56,133.68
137,694,120,2,2024-06-06,1,460.99,460.99
138,1170,65,4,2025-04-17,1,401.97,401.97
139,8624,191,4,2025-04-14,3,347.01,1041.03
140,7783,121,10,2024-10-19,3,440.8,1322.4
141,13857,90,10,2024-07-21,1,304.53,304.53
142,9175,195,5,2025-02-06,1,149.61,149.61
143,11353,177,10,2024-09-28,2,344.08,688.16
144,19429,115,2,2024-11-04,3,93.16,279.48
145,5531,77,6,2024-05-18,4,59.77,239.08
146,4993,32,3,2024-10-04,1,69.3,69.3
147,3313,112,9,2024-11-12,1,154.73,154.73
148,13066,178,6,2024-05-26,2,230.25,460.5
149,4319,186,3,2024-06-12,2,108.88,217.76
150,14060,52,3,2024-08-09,4,283.56,1134.24
151,1689,23,5,2024-12-24,1,194.18,194.18
152,468,30,6,2024-10-21,3,90.47,271.40999999999997
153,9538,70,4,2024-09-19,3,35.81,107.43
154,2423,71,5,2025-03-14,3,445.68,1337.04
155,14605,111,3,2024-08-11,2,385.69,771.38
156,4722,158,10,2024-07-23,4,98.93,395.72
157,9204,37,4,2024-12-12,4,300.4,1201.6
158,7542,48,8,2024-12-05,4,211.56,846.24
159,9870,160,8,2024-05-20,1,80.35,80.35
160,14786,70,1,2025-01-19,1,35.81,35.81
161,13680,35,4,2024-07-14,4,400.21,1600.84
162,12543,68,2,2024-11-16,4,239.82,959.28
163,17871,160,4,2024-11-22,4,80.35,321.4
164,14462,59,5,2025-04-15,2,208.09,416.18
165,11039,118,1,2025-05-03,4,125.16,500.64
166,12253,163,5,2024-07-24,3,425.48,1276.44
167,9771,112,7,2024-11-08,1,154.73,154.73
168,3750,144,5,2025-03-23,3,63.83,191.49
169,11818,119,7,2024-08-01,1,216.78,216.78
170,2504,115,9,2024-07-11,2,93.16,186.32
171,7856,105,8,2024-10-12,2,246.13,492.26
172,13379,180,1,2024-08-19,3,10.69,32.07
173,11330,66,10,2025-03-08,2,418.79,837.58
174,11102,6,10,2024-08-19,1,220.2,220.2
175,16784,14,2,2024-07-06,2,270.29,540.58
176,12150,157,6,2025-02-18,3,499.17,1497.51
177,14620,106,5,2025-01-18,2,484.64,969.28
178,17924,154,1,2025-04-20,4,253.65,1014.6
179,14986,18,2,2024-09-16,1,429.49,429.49
180,15027,4,3,2024-09-01,2,55.05,110.1
181,8429,57,10,2024-07-14,1,50.78,50.78
182,9120,119,5,2024-12-19,3,216.78,650.34
183,4125,53,7,2024-10-26,4,432.07,1728.28
184,18780,102,6,2025-03-14,1,273.54,273.54
185,16376,25,3,2024-08-09,4,56.28,225.12
186,450,175,6,2024-09-19,4,324.97,1299.88
187,16764,180,4,2025-03-30,4,10.69,42.76
188,15035,162,3,2024-11-22,2,334.11,668.22
189,9443,144,4,2024-08-25,2,63.83,127.66
190,12644,94,8,2024-08-28,3,121.12,363.36
191,2302,127,1,2024-10-30,2,470.22,940.44
192,7711,124,3,2024-07-15,3,281.95,845.8499999999999
193,5793,36,10,2025-04-27,3,173.0,519.0
194,9660,156,8,2024-09-05,4,447.47,1789.88
195,7217,193,10,2025-02-23,1,439.41,439.41
196,11713,72,9,2024-05-26,2,117.4,234.8
197,4906,53,3,2025-02-01,1,432.07,432.07
198,15767,170,9,2024-08-12,3,326.1,978.3000000000001
199,6000,79,10,2024-08-16,3,273.74,821.22
200,16984,98,10,2024-11-12,3,81.16,243.48
201,7289,147,4,2024-07-13,4,26.44,105.76
202,11267,44,4,2024-06-29,1,238.83,238.83
203,15587,30,7,2024-09-27,4,90.47,361.88
204,1568,74,6,2024-09-23,1,295.45,295.45
205,15111,172,10,2024-09-19,4,325.53,1302.12
206,16083,117,3,2024-08-21,3,126.19,378.57
207,1095,155,8,2024-06-25,2,29.82,59.64
208,11136,84,5,2025-03-14,4,102.57,410.28
209,13509,73,2,2025-03-14,4,342.48,1369.92
210,12346,34,10,2025-01-01,2,280.36,560.72
211,9685,127,3,2024-10-25,2,470.22,940.44
212,6192,85,7,2025-02-26,4,381.9,1527.6
213,17843,152,10,2025-01-06,3,232.43,697.29
214,8047,56,9,2024-09-14,3,278.39,835.17
215,4935,7,1,2025-03-06,2,433.75,867.5
216,14039,196,6,2024-08-09,4,449.05,1796.2
217,1355,51,9,2025-03-02,1,430.13,430.13
218,6474,136,7,2025-02-25,2,121.93,243.86
219,12795,184,3,2024-05-26,1,187.12,187.12
220,2964,58,7,2025-01-07,2,458.47,916.94
221,14504,85,2,2025-03-20,4,381.9,1527.6
222,3043,69,10,2025-01-08,3,438.17,1314.51
223,6974,8,2,2024-05-31,2,350.39,700.78
224,7140,194,1,2024-09-28,1,227.46,227.46
225,11227,152,3,2025-03-07,4,232.43,929.72
226,6931,170,1,2024-07-28,4,326.1,1304.4
227,14763,54,8,2024-06-20,4,417.26,1669.04
228,18117,144,8,2024-08-26,1,63.83,63.83
229,5341,132,4,2024-10-08,2,19.03,38.06
230,5112,59,1,2024-10-12,3,208.09,624.27
231,3082,94,2,2024-12-13,3,121.12,363.36
232,7803,46,2,2024-08-27,1,136.1,136.1
233,9463,94,2,2025-05-15,3,121.12,363.36
234,15581,99,9,2025-05-03,2,24.59,49.18
235,17914,13,7,2025-01-14,1,495.84,495.84
236,17466,37,9,2025-05-05,1,300.4,300.4
237,7995,182,10,2025-01-23,2,299.42,598.84
238,3532,177,10,2024-06-05,4,344.08,1376.32
239,9344,75,2,2025-03-18,2,280.94,561.88
240,717,58,5,2025-05-16,2,458.47,916.94
241,6230,19,1,2025-04-22,3,92.04,276.12
242,16589,146,2,2025-04-22,3,18.71,56.13
243,12022,188,4,2024-09-17,3,388.67,1166.01
244,11302,145,10,2024-06-15,4,218.09,872.36
245,4095,139,1,2025-01-22,2,445.41,890.82
246,9525,143,8,2024-10-14,3,375.89,1127.67
247,10042,200,6,2024-06-24,4,54.09,216.36
248,8104,108,1,2025-04-14,3,85.34,256.02
249,18403,145,9,2025-04-24,2,218.09,436.18
250,15091,90,1,2024-12-06,2,304.53,609.06
251,15916,120,4,2024-08-23,2,460.99,921.98
252,8710,5,5,2024-12-12,1,346.11,346.11
253,1439,189,9,2025-01-31,2,132.34,264.68
254,18437,132,2,2024-09-06,2,19.03,38.06
255,15030,56,9,2024-09-21,3,278.39,835.17
256,4518,104,1,2024-05-26,1,164.2,164.2
257,18697,48,4,2024-05-25,3,211.56,634.6800000000001
258,10906,48,7,2024-11-06,4,211.56,846.24
259,1245,163,4,2024-10-16,4,425.48,1701.92
260,2417,109,8,2024-11-17,1,75.28,75.28
261,15294,161,7,2025-05-10,2,333.9,667.8
262,6491,100,6,2025-04-01,1,467.43,467.43
263,11684,21,5,2024-12-10,2,228.26,456.52
264,5840,102,10,2024-08-07,4,273.54,1094.16
